product_id,variation_id,name,original_price,promo_price,discount_percent,store,city_store,category,page,date
174074,475744,Agnelle Entière au Kg.,149.9,149.9,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
26830,398415,Épaule Ronde d'Agneau au kg,178.9,178.9,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
27573,397920,Escalope de Dinde 500g,35.45,35.45,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
115741,430621,Escalope de Dinde en Barquette 500g.,35.95,35.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
27720,423977,Filet de Boeuf 500g - Filière Qualité,114.95,114.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
29077,397928,Filet de Dinde 500g.,34.95,34.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
24707,398403,Framboise 250G,30.24,30.24,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
26032,897240,Gigot d'Agneau Entier au kg.,170.9,170.9,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
130011,471919,Groseilles Barquette 1 pièce,60.5,60.5,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
181298,491302,Pageot Chama Grand au Kg,143.9,143.9,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
27585,398166,Pageot chama Moy 500g,39.0,39.0,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
181290,476413,Pageot Royal Moyen au Kg,169.9,169.9,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
28548,395807,Salade Iceberg à La Pièce.,10.5,10.5,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
27641,395007,Tomate 500g,3.98,3.98,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
28461,404222,Beefteak Tranche de Boeuf 500g - Filière Qualité,74.45,74.45,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
24717,395226,Collier de Bœuf 500g - Filière Qualité,53.95,53.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
24139,395688,Escalope de Boeuf 500g - Filière Qualité,73.95,73.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
23922,423033,Jarret de Bœuf à Os 500g - Filière Qualité,60.95,54.95,10%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
129302,464802,Mûres 250g,40.24,40.24,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
29308,426166,Myrtilles 125g,33.12,33.12,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,1,2026-03-04
23973,397867,Poulet Entier au kg,38.9,38.9,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
26216,423980,Poulet Fermier au kg.,89.9,79.9,11%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
26286,399418,Salade Laitue Verte à La Pièce.,11.5,11.5,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
26263,399400,Tomate Allongée 500g.,6.75,6.75,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
181551,451369,Crevette rose 500g.,69.95,69.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
181341,505348,Huitre à la pièce,9.0,9.0,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
26304,398725,Lamelles de Calamar 500g,44.95,44.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
129697,479483,Poire Williams 500g.,17.75,17.75,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
157497,473279,Poulet Bio au Kg.,104.9,104.9,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
26215,395576,Salade Laitue Rouge à La Pièce.,11.5,11.5,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
127745,493043,Saucisses Barbecue Dinde Fines Herbes Barquette au Kg,51.9,44.9,13%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
127757,501885,Saucisses Barbecue Dinde Marocain Barquette au Kg,51.9,44.9,13%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
127725,430459,Saucisses Barbecue Dinde Nature Barquette au kg,51.9,44.9,13%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
128303,395373,Saumon Fumé Norsson 150g,128.95,128.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
27746,397577,Tomate Cerise 250g.,3.38,3.38,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
26826,395232,Filet de Poulet 500g.,38.95,38.95,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
115715,445977,Filet de Poulet Premium en Barquette 500g,43.45,43.45,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
27642,397865,Pilon de Poulet 500g.,25.45,22.95,10%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
115746,461178,Pilon de Poulet en Barquette 500g.,25.95,22.95,12%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
28344,404242,Poire Rocha 500g.,14.48,14.48,0%,Bringo,Carrefour Sidi Maarouf,Mon Marche,2,2026-03-04
